Track Number,Track Name,Duration,Justin's Score,Hector's Score,Average Score,Album,Artist
1,Super Sunset Intro,0:36,7.9,7.9,7.9125,Super Sunset,Allie X
2,Not So Bad In LA,2:50,7.0,7.0,7.9125,Super Sunset,Allie X
3,Little Things,3:08,8.0,8.0,7.9125,Super Sunset,Allie X
4,Science,3:55,8.5,8.5,7.9125,Super Sunset,Allie X
5,Girl Of The Year,3:44,9.0,9.0,7.9125,Super Sunset,Allie X
6,Super Sunset Interlude,0:37,7.9,7.9,7.9125,Super Sunset,Allie X
7,Can't Stop Now,3:03,8.0,8.0,7.9125,Super Sunset,Allie X
8,Focus,3:47,7.0,7.0,7.9125,Super Sunset,Allie X
