Track Number,Track Name,Duration,Justin's Score,Hector's Score,Average Score,Album,Artist
1,Doing Crimes,3:40,7.0,7.0,8.0625,Prodrome,Ari Mason
2,Do You Believe In The Existence Of Extraterrestrials?,2:44,10.0,10.0,8.0625,Prodrome,Ari Mason
3,Borrowing Time,2:26,8.5,8.5,8.0625,Prodrome,Ari Mason
4,Ambrosia,2:40,8.0,8.0,8.0625,Prodrome,Ari Mason
5,I Hate It,2:57,8.5,8.5,8.0625,Prodrome,Ari Mason
6,Bad Things Happen When I Leave My Home,2:46,9.0,9.0,8.0625,Prodrome,Ari Mason
7,mea culpa,3:18,6.0,6.0,8.0625,Prodrome,Ari Mason
8,I'll Be Nice (When I Am Dead),3:06,7.5,7.5,8.0625,Prodrome,Ari Mason
